,Tweets,index
5,"Yeah… I’ll do that, Nanna. Hey, I’ll teach you some sword fighting tactics before you go. Now watch carefully…",293
6,"And for that, Nanna, your strength is necessary, too. Please help me do this.",293
0,Finished my 100th clear of Hades. https://t.co/sSr2Mr68G3,305
0,Check out Unmatched: Bruce Lee Board Game Expansion - NEW - SEALED - UNOPENED - OOP - RARE https://t.co/eY89O9QCed #eBay #RIPJimmyFallon #boardgames #unmatched #ripbrucelee,367
1,"2003-2007 Ford F Series, 6.0L Diesel fan.

https://t.co/WWVDMJ2bxw https://t.co/w5MFCsYMBf",367
2,"Check it out. 

This rare Golden Age comic about the importance of voting is being auctioned off to help support the #WarnockForGeorgia campaign. 

#comics #comicbooks

https://t.co/VyW45vlL6b",367
3,"#Wednesdayvibe 
Fast &amp; #FreeShipping 💨 📦 
#shopping 🛍 #giftideas 🎁
#Deals 🎯 #Sales 🔥 #Online #eBay #Turkey #Thanksgiving #holidays #deepfryer https://t.co/j0eaCEbruQ",367
4,"Strokes - Is This It International cover via /r/VinylReleases https://t.co/7HlrViWsbG

#vinyl #vinylrecords #vinylreleases #records #music

Credit Chicagoroyalty",367
5,"1987-1991 Ford F Series Trucks / Bronco, left park lamp turn signal lens.

https://t.co/xJlI7LdajI https://t.co/VVl8is0pmH",367
6,My mom said it’s time for some new jeans https://t.co/fOHevu7sPi,367
7,"beautiful Joker Flawless game used patch auto bringing a bag 💰 with half a day to go … very nice piece from the 2x MVP. #TheHobby 

P.S. I’m not personally a fan of grading Flawless cards … 

https://t.co/nXZ9hBTm4Z",367
8,"Check out Sergio Aguero Signed Shirt Presentation Man City Box - Official 1486/2500

⚠️Limited Edition - COA from the club shop - Auction ends Sunday⚠️
 https://t.co/hEPFt41AG3

#ManCity #Manchester #ManchesterCity #Aguero #FIFA #FIFAWorldCup #WorldCup2022 #Football #Signed",367
9,"2009-2010 Dodge Journey, window switch.

https://t.co/sXPVvgtu1G https://t.co/DVaBL6EfI4",367
10,"2002-2003 Ford F-150, window switch.

https://t.co/qJBLP16JjF https://t.co/y3cFOnv6LA",367
11,"2003-2006 Chevrolet Tahoe, window switch.

https://t.co/HlkdA54hQD https://t.co/wYDN37xEWD",367
12,"https://t.co/Cwqewvgbjc

Get your #helium miners outside quick with my outdoor enclosure set-up

I will be adding a antenna + antenna cable package soon.",367
13,2 Lakers Tickets vs. San Antonio Spurs Sun 11/20 Nice upper level view with extra legroom https://t.co/Tz3abw3RhA,367
14,Check out Nolan Ryan RC 1968 Topps #177 SGC A Rookie Card https://t.co/FXDoSRICQW,367
0,"An excerpt from our ‘On The Wolves Of Rudra – The Terrific, Well-Storied Wolves And Wolf Forms Of The Indo-European Sky Father‘ introducing concept of the Temple Wolf via that of the wolf-born lord of the bow, Apollo 
[ Odin &amp; Vedic exemplars also occur ]
https://t.co/LVWj5YK9su",400
0,"Odin seems pretty odd in the greater indo-european context;

Most other proto IE descended god kings seem to fit the Dyḗus archetype (Zeus, Jupiter, Perun (Slavic), Dievs (Baltic), Indra, etc.)

but Thor seems to occupy that role in Norse myth instead",401
1,"Headlines:
""Lauren Boebert's slight lead could diminish if ballots tossed due to signature verification are fixed""
Zeus, Jupiter, Odin and Ra. I'm giving them all a shoutout for a little help.. https://t.co/uc8zkSTbc5",401
2,"If you don't believe in Odin/Zeus/Jupiter's wrath, you can never really understand Odin/Zeus/Jupiter's love. https://t.co/PmFmFBPbu6",401
3,Did yall know odin and Thor really one god and he’s also Jupiter and a bunch of others and he’s a mongol god basically🏌🏾‍♂️,401
4,"1 God War Mars
2 God Sky Jupiter
3 God Speed Mercury
4 God Time Saturn
5 Goddess Love Venus
6 Goddess Earth Gaia
7 God Sky Uranus
8 God Seas Neptune 
9 God Underworld Pluto

1 God War Odin
2 God Thunder Thor
3 God Mischief Loki",401
